id	crop	tradeName	geneSource	gmTrait	developer	country	countryCode	food	feed	cultivation
11	Alfalfa, Lucerne	Roundup Ready™ Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Australia	AUS	2007	0	0
11	Alfalfa, Lucerne	Roundup Ready™ Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Canada	CAN	2005	2005	2005
11	Alfalfa, Lucerne	Roundup Ready™ Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Japan	JPN	2005	2006	2006
11	Alfalfa, Lucerne	Roundup Ready™ Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Mexico	MEX	2005	0	2005
11	Alfalfa, Lucerne	Roundup Ready™ Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	New Zealand	NCL	2007	0	0
11	Alfalfa, Lucerne	Roundup Ready™ Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Philippines	PHL	2006	2006	0
11	Alfalfa, Lucerne	Roundup Ready™ Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Singapore	SGP	0	2014	0
11	Alfalfa, Lucerne	Roundup Ready™ Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	South Korea	ATF	2007	2008	0
11	Alfalfa, Lucerne	Roundup Ready™ Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	United States of America	USA	2004	2004	2005
13	Alfalfa, Lucerne	Roundup Ready™ Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Japan	JPN	2005	2006	2006
13	Alfalfa, Lucerne	Roundup Ready™ Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Mexico	MEX	2010	0	0
13	Alfalfa, Lucerne	Roundup Ready™ Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	South Korea	ATF	2007	2008	0
12	Alfalfa, Lucerne	Roundup Ready&trade; Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Australia	AUS	2007	0	0
12	Alfalfa, Lucerne	Roundup Ready&trade; Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Canada	CAN	2005	2005	2005
12	Alfalfa, Lucerne	Roundup Ready&trade; Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Japan	JPN	2005	2006	2006
12	Alfalfa, Lucerne	Roundup Ready&trade; Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Mexico	MEX	2005	0	2005
12	Alfalfa, Lucerne	Roundup Ready&trade; Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	New Zealand	NCL	2007	0	0
12	Alfalfa, Lucerne	Roundup Ready&trade; Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Philippines	PHL	2006	2006	0
12	Alfalfa, Lucerne	Roundup Ready&trade; Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	Singapore	SGP	0	2014	0
12	Alfalfa, Lucerne	Roundup Ready&trade; Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	South Korea	ATF	2007	2008	0
12	Alfalfa, Lucerne	Roundup Ready&trade; Alfalfa	Agrobacterium tumefaciens	Glyphosate herbicide tolerance	Monsanto Company and Forage Genetics International	United States of America	USA	2004	2004	2005
356	Alfalfa, Lucerne	HarvXtra™	Medicago sativa (alfalfa),Escherichia coli	Antibiotic resistance,Altered lignin production	Monsanto Company and Forage Genetics International	Australia	AUS	2014	0	0
356	Alfalfa, Lucerne	HarvXtra™	Medicago sativa (alfalfa),Escherichia coli	Antibiotic resistance,Altered lignin production	Monsanto Company and Forage Genetics International	Canada	CAN	2014	2014	2014
356	Alfalfa, Lucerne	HarvXtra™	Medicago sativa (alfalfa),Escherichia coli	Antibiotic resistance,Altered lignin production	Monsanto Company and Forage Genetics International	Japan	JPN	2015	0	0
356	Alfalfa, Lucerne	HarvXtra™	Medicago sativa (alfalfa),Escherichia coli	Antibiotic resistance,Altered lignin production	Monsanto Company and Forage Genetics International	Mexico	MEX	2015	0	0
356	Alfalfa, Lucerne	HarvXtra™	Medicago sativa (alfalfa),Escherichia coli	Antibiotic resistance,Altered lignin production	Monsanto Company and Forage Genetics International	New Zealand	NCL	2014	0	0
356	Alfalfa, Lucerne	HarvXtra™	Medicago sativa (alfalfa),Escherichia coli	Antibiotic resistance,Altered lignin production	Monsanto Company and Forage Genetics International	South Korea	ATF	2016	2015	0
356	Alfalfa, Lucerne	HarvXtra™	Medicago sativa (alfalfa),Escherichia coli	Antibiotic resistance,Altered lignin production	Monsanto Company and Forage Genetics International	United States of America	USA	2013	2013	2014
399	Alfalfa, Lucerne	not available	Agrobacterium tumefaciens,Medicago sativa (alfalfa),Escherichia coli	Glyphosate herbicide tolerance,Antibiotic resistance,Altered lignin production	Monsanto Company (including fully and partly owned companies)	Japan	JPN	2016	2016	2016
399	Alfalfa, Lucerne	not available	Agrobacterium tumefaciens,Medicago sativa (alfalfa),Escherichia coli	Glyphosate herbicide tolerance,Antibiotic resistance,Altered lignin production	Monsanto Company (including fully and partly owned companies)	Mexico	MEX	2015	0	0
399	Alfalfa, Lucerne	not available	Agrobacterium tumefaciens,Medicago sativa (alfalfa),Escherichia coli	Glyphosate herbicide tolerance,Antibiotic resistance,Altered lignin production	Monsanto Company (including fully and partly owned companies)	South Korea	ATF	0	2016	0
393	Apple	Arctic™ "Golden Delicious" Apple	Malus domestica,Escherichia coli	Antibiotic resistance,Non-Browning Phenotype	Okanagan Specialty Fruits Incorporated	Canada	CAN	2015	2015	2015
393	Apple	Arctic™ "Golden Delicious" Apple	Malus domestica,Escherichia coli	Antibiotic resistance,Non-Browning Phenotype	Okanagan Specialty Fruits Incorporated	United States of America	USA	2015	2015	2015
394	Apple	Arctic™	Malus domestica,Escherichia coli	Antibiotic resistance,Non-Browning Phenotype	Okanagan Specialty Fruits Incorporated	Canada	CAN	2015	2015	2015
394	Apple	Arctic™	Malus domestica,Escherichia coli	Antibiotic resistance,Non-Browning Phenotype	Okanagan Specialty Fruits Incorporated	United States of America	USA	2015	2015	2015
425	Apple	Arctic™ Fuji Apple	Malus domestica,Escherichia coli	Antibiotic resistance,Non-Browning Phenotype	Okanagan Specialty Fruits Incorporated	United States of America	USA	2016	2016	2016
8	Argentine Canola, Canola, Oilseed rape, Rapeseed, Turnip	Laurical&trade; Canola	Umbellularia californica,Escherichia coli	Modified oil/fatty acid,Antibiotic resistance	Monsanto Company (including fully and partly owned companies)	Canada	CAN	1996	1996	1996
8	Argentine Canola, Canola, Oilseed rape, Rapeseed, Turnip	Laurical&trade; Canola	Umbellularia californica,Escherichia coli	Modified oil/fatty acid,Antibiotic resistance	Monsanto Company (including fully and partly owned companies)	United States of America	USA	1994	1994	1994
